trial,mean0,mean1,reward0,reward1,choice,reward,run
0,40.0,20.0,52.0,22.0,0,52.0,36
1,40.0,20.0,53.0,22.0,1,22.0,36
2,40.0,20.0,28.0,23.0,1,23.0,36
3,40.0,20.0,38.0,32.0,0,38.0,36
4,40.0,20.0,38.0,8.0,0,38.0,36
0,60.0,64.0,65.0,53.0,1,53.0,37
1,60.0,64.0,75.0,68.0,0,75.0,37
2,60.0,64.0,61.0,59.0,0,61.0,37
3,60.0,64.0,67.0,61.0,0,67.0,37
4,60.0,64.0,62.0,78.0,0,62.0,37
5,60.0,64.0,59.0,73.0,0,59.0,37
6,60.0,64.0,59.0,50.0,0,59.0,37
7,60.0,64.0,56.0,70.0,0,56.0,37
8,60.0,64.0,75.0,57.0,0,75.0,37
9,60.0,64.0,57.0,63.0,0,57.0,37
0,32.0,40.0,32.0,42.0,1,42.0,38
1,32.0,40.0,41.0,42.0,1,42.0,38
2,32.0,40.0,28.0,46.0,1,46.0,38
3,32.0,40.0,28.0,33.0,0,28.0,38
4,32.0,40.0,23.0,45.0,1,45.0,38
5,32.0,40.0,25.0,26.0,1,26.0,38
6,32.0,40.0,44.0,25.0,1,25.0,38
7,32.0,40.0,44.0,46.0,1,46.0,38
8,32.0,40.0,31.0,41.0,1,41.0,38
9,32.0,40.0,32.0,45.0,1,45.0,38
0,72.0,60.0,69.0,56.0,0,69.0,39
1,72.0,60.0,68.0,75.0,1,75.0,39
2,72.0,60.0,73.0,64.0,1,64.0,39
3,72.0,60.0,66.0,62.0,1,62.0,39
4,72.0,60.0,63.0,60.0,0,63.0,39
0,20.0,40.0,17.0,42.0,1,42.0,40
1,20.0,40.0,23.0,42.0,1,42.0,40
2,20.0,40.0,20.0,51.0,0,20.0,40
3,20.0,40.0,22.0,46.0,0,22.0,40
4,20.0,40.0,32.0,38.0,1,38.0,40
5,20.0,40.0,29.0,44.0,1,44.0,40
6,20.0,40.0,11.0,46.0,1,46.0,40
7,20.0,40.0,15.0,41.0,1,41.0,40
8,20.0,40.0,26.0,40.0,1,40.0,40
9,20.0,40.0,13.0,42.0,1,42.0,40
0,44.0,40.0,42.0,53.0,0,42.0,41
1,44.0,40.0,37.0,27.0,1,27.0,41
2,44.0,40.0,49.0,48.0,0,49.0,41
3,44.0,40.0,37.0,44.0,1,44.0,41
4,44.0,40.0,52.0,46.0,0,52.0,41
5,44.0,40.0,27.0,40.0,0,27.0,41
6,44.0,40.0,54.0,45.0,0,54.0,41
7,44.0,40.0,48.0,37.0,0,48.0,41
8,44.0,40.0,41.0,43.0,0,41.0,41
9,44.0,40.0,46.0,39.0,1,39.0,41
0,20.0,40.0,17.0,57.0,1,57.0,42
1,20.0,40.0,29.0,45.0,1,45.0,42
2,20.0,40.0,28.0,37.0,0,28.0,42
3,20.0,40.0,18.0,39.0,1,39.0,42
4,20.0,40.0,8.0,40.0,1,40.0,42
5,20.0,40.0,23.0,40.0,1,40.0,42
6,20.0,40.0,11.0,39.0,1,39.0,42
7,20.0,40.0,21.0,40.0,1,40.0,42
8,20.0,40.0,24.0,27.0,1,27.0,42
9,20.0,40.0,24.0,29.0,1,29.0,42
0,64.0,60.0,59.0,56.0,1,56.0,43
1,64.0,60.0,71.0,83.0,0,71.0,43
2,64.0,60.0,77.0,68.0,1,68.0,43
3,64.0,60.0,69.0,78.0,0,69.0,43
4,64.0,60.0,77.0,58.0,0,77.0,43
5,64.0,60.0,76.0,68.0,0,76.0,43
6,64.0,60.0,53.0,60.0,0,53.0,43
7,64.0,60.0,51.0,48.0,0,51.0,43
8,64.0,60.0,67.0,59.0,0,67.0,43
9,64.0,60.0,58.0,69.0,0,58.0,43
0,20.0,40.0,32.0,42.0,0,32.0,44
1,20.0,40.0,11.0,24.0,1,24.0,44
2,20.0,40.0,13.0,35.0,0,13.0,44
3,20.0,40.0,25.0,56.0,1,56.0,44
4,20.0,40.0,17.0,39.0,1,39.0,44
5,20.0,40.0,32.0,52.0,1,52.0,44
6,20.0,40.0,31.0,44.0,1,44.0,44
7,20.0,40.0,25.0,49.0,1,49.0,44
8,20.0,40.0,13.0,44.0,1,44.0,44
9,20.0,40.0,11.0,49.0,1,49.0,44
0,40.0,36.0,48.0,27.0,0,48.0,45
1,40.0,36.0,53.0,22.0,0,53.0,45
2,40.0,36.0,34.0,38.0,1,38.0,45
3,40.0,36.0,35.0,40.0,0,35.0,45
4,40.0,36.0,41.0,32.0,0,41.0,45
5,40.0,36.0,40.0,33.0,0,40.0,45
6,40.0,36.0,47.0,47.0,0,47.0,45
7,40.0,36.0,47.0,38.0,0,47.0,45
8,40.0,36.0,39.0,22.0,0,39.0,45
9,40.0,36.0,49.0,42.0,0,49.0,45
0,72.0,60.0,67.0,55.0,1,55.0,46
1,72.0,60.0,82.0,70.0,1,70.0,46
2,72.0,60.0,69.0,61.0,1,61.0,46
3,72.0,60.0,71.0,56.0,0,71.0,46
4,72.0,60.0,83.0,78.0,0,83.0,46
5,72.0,60.0,73.0,66.0,0,73.0,46
6,72.0,60.0,66.0,53.0,0,66.0,46
7,72.0,60.0,60.0,70.0,0,60.0,46
8,72.0,60.0,80.0,47.0,0,80.0,46
9,72.0,60.0,77.0,48.0,0,77.0,46
0,40.0,52.0,42.0,56.0,1,56.0,47
1,40.0,52.0,31.0,48.0,1,48.0,47
2,40.0,52.0,26.0,63.0,1,63.0,47
3,40.0,52.0,56.0,50.0,0,56.0,47
4,40.0,52.0,31.0,46.0,1,46.0,47
5,40.0,52.0,47.0,50.0,0,47.0,47
6,40.0,52.0,36.0,68.0,1,68.0,47
7,40.0,52.0,46.0,47.0,1,47.0,47
8,40.0,52.0,32.0,50.0,1,50.0,47
9,40.0,52.0,29.0,61.0,1,61.0,47
0,40.0,48.0,27.0,55.0,0,27.0,48
1,40.0,48.0,43.0,39.0,1,39.0,48
2,40.0,48.0,33.0,57.0,0,33.0,48
3,40.0,48.0,46.0,49.0,0,46.0,48
4,40.0,48.0,53.0,51.0,1,51.0,48
0,60.0,72.0,54.0,74.0,1,74.0,49
1,60.0,72.0,63.0,82.0,0,63.0,49
2,60.0,72.0,53.0,72.0,1,72.0,49
3,60.0,72.0,53.0,68.0,1,68.0,49
4,60.0,72.0,58.0,65.0,1,65.0,49
5,60.0,72.0,52.0,74.0,1,74.0,49
6,60.0,72.0,67.0,72.0,1,72.0,49
7,60.0,72.0,74.0,55.0,0,74.0,49
8,60.0,72.0,75.0,75.0,1,75.0,49
9,60.0,72.0,71.0,72.0,1,72.0,49
0,64.0,60.0,60.0,66.0,1,66.0,50
1,64.0,60.0,64.0,55.0,0,64.0,50
2,64.0,60.0,82.0,59.0,1,59.0,50
3,64.0,60.0,58.0,65.0,0,58.0,50
4,64.0,60.0,66.0,58.0,1,58.0,50
0,40.0,20.0,51.0,13.0,1,13.0,51
1,40.0,20.0,47.0,29.0,0,47.0,51
2,40.0,20.0,50.0,30.0,0,50.0,51
3,40.0,20.0,46.0,30.0,1,30.0,51
4,40.0,20.0,41.0,28.0,0,41.0,51
0,60.0,64.0,62.0,72.0,1,72.0,52
1,60.0,64.0,56.0,77.0,1,77.0,52
2,60.0,64.0,73.0,45.0,0,73.0,52
3,60.0,64.0,58.0,66.0,1,66.0,52
4,60.0,64.0,56.0,60.0,0,56.0,52
5,60.0,64.0,57.0,56.0,1,56.0,52
6,60.0,64.0,53.0,64.0,1,64.0,52
7,60.0,64.0,61.0,72.0,1,72.0,52
8,60.0,64.0,68.0,58.0,1,58.0,52
9,60.0,64.0,42.0,65.0,1,65.0,52
0,40.0,60.0,44.0,51.0,1,51.0,53
1,40.0,60.0,39.0,63.0,0,39.0,53
2,40.0,60.0,42.0,54.0,0,42.0,53
3,40.0,60.0,50.0,56.0,0,50.0,53
4,40.0,60.0,32.0,36.0,1,36.0,53
0,40.0,32.0,42.0,29.0,1,29.0,54
1,40.0,32.0,46.0,32.0,0,46.0,54
2,40.0,32.0,44.0,23.0,1,23.0,54
3,40.0,32.0,40.0,27.0,1,27.0,54
4,40.0,32.0,36.0,24.0,0,36.0,54
5,40.0,32.0,43.0,20.0,0,43.0,54
6,40.0,32.0,32.0,38.0,0,32.0,54
7,40.0,32.0,36.0,20.0,0,36.0,54
8,40.0,32.0,52.0,34.0,0,52.0,54
9,40.0,32.0,40.0,32.0,0,40.0,54
0,48.0,40.0,44.0,32.0,1,32.0,55
1,48.0,40.0,38.0,33.0,1,33.0,55
2,48.0,40.0,58.0,41.0,0,58.0,55
3,48.0,40.0,50.0,37.0,0,50.0,55
4,48.0,40.0,50.0,41.0,0,50.0,55
5,48.0,40.0,45.0,21.0,0,45.0,55
6,48.0,40.0,38.0,31.0,0,38.0,55
7,48.0,40.0,45.0,31.0,0,45.0,55
8,48.0,40.0,39.0,37.0,0,39.0,55
9,48.0,40.0,51.0,48.0,0,51.0,55
0,40.0,48.0,49.0,57.0,1,57.0,56
1,40.0,48.0,43.0,52.0,1,52.0,56
2,40.0,48.0,44.0,50.0,0,44.0,56
3,40.0,48.0,30.0,54.0,1,54.0,56
4,40.0,48.0,35.0,48.0,1,48.0,56
5,40.0,48.0,45.0,59.0,1,59.0,56
6,40.0,48.0,42.0,52.0,1,52.0,56
7,40.0,48.0,32.0,33.0,1,33.0,56
8,40.0,48.0,48.0,42.0,1,42.0,56
9,40.0,48.0,52.0,47.0,1,47.0,56
0,56.0,60.0,64.0,49.0,0,64.0,57
1,56.0,60.0,54.0,58.0,1,58.0,57
2,56.0,60.0,60.0,53.0,0,60.0,57
3,56.0,60.0,55.0,65.0,1,65.0,57
4,56.0,60.0,40.0,53.0,0,40.0,57
0,60.0,72.0,78.0,72.0,0,78.0,58
1,60.0,72.0,61.0,68.0,0,61.0,58
2,60.0,72.0,62.0,71.0,1,71.0,58
3,60.0,72.0,65.0,53.0,0,65.0,58
4,60.0,72.0,49.0,68.0,1,68.0,58
0,40.0,70.0,47.0,65.0,0,47.0,59
1,40.0,70.0,53.0,79.0,1,79.0,59
2,40.0,70.0,32.0,69.0,1,69.0,59
3,40.0,70.0,49.0,70.0,1,70.0,59
4,40.0,70.0,50.0,87.0,1,87.0,59
5,40.0,70.0,26.0,61.0,1,61.0,59
6,40.0,70.0,31.0,74.0,1,74.0,59
7,40.0,70.0,35.0,52.0,1,52.0,59
8,40.0,70.0,51.0,62.0,1,62.0,59
9,40.0,70.0,41.0,71.0,1,71.0,59
0,52.0,60.0,57.0,62.0,0,57.0,60
1,52.0,60.0,42.0,56.0,0,42.0,60
2,52.0,60.0,43.0,59.0,1,59.0,60
3,52.0,60.0,45.0,79.0,1,79.0,60
4,52.0,60.0,54.0,57.0,1,57.0,60
5,52.0,60.0,50.0,66.0,1,66.0,60
6,52.0,60.0,66.0,54.0,1,54.0,60
7,52.0,60.0,58.0,50.0,1,50.0,60
8,52.0,60.0,64.0,65.0,1,65.0,60
9,52.0,60.0,47.0,56.0,1,56.0,60
0,90.0,60.0,112.0,62.0,0,112.0,61
1,90.0,60.0,81.0,65.0,0,81.0,61
2,90.0,60.0,89.0,67.0,0,89.0,61
3,90.0,60.0,93.0,60.0,1,60.0,61
4,90.0,60.0,90.0,68.0,0,90.0,61
5,90.0,60.0,86.0,61.0,0,86.0,61
6,90.0,60.0,100.0,54.0,0,100.0,61
7,90.0,60.0,93.0,49.0,0,93.0,61
8,90.0,60.0,86.0,50.0,0,86.0,61
9,90.0,60.0,86.0,53.0,0,86.0,61
0,60.0,30.0,77.0,23.0,0,77.0,62
1,60.0,30.0,56.0,33.0,0,56.0,62
2,60.0,30.0,70.0,46.0,1,46.0,62
3,60.0,30.0,57.0,19.0,1,19.0,62
4,60.0,30.0,66.0,28.0,0,66.0,62
5,60.0,30.0,56.0,27.0,0,56.0,62
6,60.0,30.0,74.0,42.0,0,74.0,62
7,60.0,30.0,51.0,16.0,0,51.0,62
8,60.0,30.0,60.0,37.0,0,60.0,62
9,60.0,30.0,52.0,40.0,0,52.0,62
0,40.0,10.0,60.0,7.0,1,7.0,63
1,40.0,10.0,38.0,14.0,0,38.0,63
2,40.0,10.0,30.0,-4.0,1,-4.0,63
3,40.0,10.0,44.0,14.0,1,14.0,63
4,40.0,10.0,48.0,10.0,0,48.0,63
0,56.0,60.0,54.0,56.0,1,56.0,64
1,56.0,60.0,45.0,70.0,1,70.0,64
2,56.0,60.0,45.0,60.0,1,60.0,64
3,56.0,60.0,63.0,60.0,0,63.0,64
4,56.0,60.0,46.0,64.0,0,46.0,64
0,40.0,20.0,36.0,14.0,0,36.0,65
1,40.0,20.0,40.0,13.0,1,13.0,65
2,40.0,20.0,30.0,21.0,0,30.0,65
3,40.0,20.0,28.0,41.0,1,41.0,65
4,40.0,20.0,31.0,27.0,0,31.0,65
5,40.0,20.0,28.0,11.0,0,28.0,65
6,40.0,20.0,54.0,26.0,0,54.0,65
7,40.0,20.0,43.0,3.0,0,43.0,65
8,40.0,20.0,37.0,11.0,0,37.0,65
9,40.0,20.0,40.0,7.0,0,40.0,65
0,30.0,60.0,33.0,64.0,0,33.0,66
1,30.0,60.0,24.0,71.0,1,71.0,66
2,30.0,60.0,26.0,51.0,1,51.0,66
3,30.0,60.0,37.0,55.0,0,37.0,66
4,30.0,60.0,15.0,71.0,1,71.0,66
0,32.0,40.0,45.0,37.0,1,37.0,67
1,32.0,40.0,28.0,46.0,1,46.0,67
2,32.0,40.0,32.0,45.0,1,45.0,67
3,32.0,40.0,30.0,40.0,0,30.0,67
4,32.0,40.0,41.0,41.0,1,41.0,67
5,32.0,40.0,26.0,35.0,1,35.0,67
6,32.0,40.0,28.0,38.0,1,38.0,67
7,32.0,40.0,33.0,48.0,1,48.0,67
8,32.0,40.0,40.0,44.0,1,44.0,67
9,32.0,40.0,25.0,35.0,1,35.0,67
0,40.0,10.0,42.0,12.0,0,42.0,68
