engine,run,performance_score1,performance_score1_name,performance_score1_CI,behaviour_score1,behaviour_score1_name,behaviour_score1_CI
str_risk-aversion_0.25+Llama-3.1-8B-Instruct,0,0.5135,rewards mean,0.0219109556886409,0.1175209204857086,interaction effect,0.0198088053034627
str_manic mood_-0.25+Llama-3.1-8B-Instruct,0,0.533,rewards mean,0.0218711550337713,0.1062216830576894,interaction effect,0.0208747289821068
str_manic mood_0.25+Llama-3.1-8B-Instruct,0,0.5485,rewards mean,0.0218155852105563,0.0746054589783295,interaction effect,0.0188605507861255
str_risk-seeking_-0.25+Llama-3.1-8B-Instruct,0,0.5465,rewards mean,0.0218239522691541,0.1139670253419612,interaction effect,0.0184621598528947
str_risk-seeking_0.25+Llama-3.1-8B-Instruct,0,0.515,rewards mean,0.0219090808550235,0.0589240423322572,interaction effect,0.02181424392718
str_random 0_0.25+Llama-3.1-8B-Instruct,0,0.5125,rewards mean,0.021912095859878,0.1099344806813587,interaction effect,0.0172588936366388
str_random 1_0.25+Llama-3.1-8B-Instruct,0,0.526,rewards mean,0.0218892921254862,0.1053402481398947,interaction effect,0.0200866495095364
str_random 2_0.25+Llama-3.1-8B-Instruct,0,0.5375,rewards mean,0.0218572126281448,0.108832201472401,interaction effect,0.0185929866793821
str_random 3_0.25+Llama-3.1-8B-Instruct,0,0.528,rewards mean,0.0218845507054582,0.1174813491956738,interaction effect,0.019334544881318
str_random 4_0.25+Llama-3.1-8B-Instruct,0,0.5225,rewards mean,0.0218967424212902,0.1069161155906983,interaction effect,0.0193084447534977
str_random 5_0.25+Llama-3.1-8B-Instruct,0,0.531,rewards mean,0.0218767778227043,0.1192042186555818,interaction effect,0.0198192103696095
str_random 6_0.25+Llama-3.1-8B-Instruct,0,0.5285,rewards mean,0.0218833103034004,0.0858040099375209,interaction effect,0.0188604863722838
str_random 7_0.25+Llama-3.1-8B-Instruct,0,0.5195,rewards mean,0.0219022708990475,0.1024395910174187,interaction effect,0.0197774480167654
str_random 8_0.25+Llama-3.1-8B-Instruct,0,0.544,rewards mean,0.0218339114921153,0.1250846232212692,interaction effect,0.0191795466099439
str_random 9_0.25+Llama-3.1-8B-Instruct,0,0.5345,rewards mean,0.0218667062956933,0.1137476237296882,interaction effect,0.0189573985551976
str_none+Qwen3-0.6B,0,0.5285,rewards mean,0.0218833103034004,0.0420462116537466,interaction effect,0.0187016661041736
str_depressed mood_0.25+Qwen3-0.6B,0,0.5285,rewards mean,0.0218833103034004,-0.0053965212271805,interaction effect,0.0180536397978847
str_low self-esteem_0.25+Qwen3-0.6B,0,0.526,rewards mean,0.0218892921254862,0.0186045322534461,interaction effect,0.0208783693156605
str_negativity bias_0.25+Qwen3-0.6B,0,0.5065,rewards mean,0.0219170943720389,-0.0134756087887199,interaction effect,0.0218802528315354
str_guilt_0.25+Qwen3-0.6B,0,0.495,rewards mean,0.0219178506265563,0.0389067465369969,interaction effect,0.0224724515521934
str_risk-aversion_0.25+Qwen3-0.6B,0,0.506,rewards mean,0.0219173683803131,-0.0130859321866487,interaction effect,0.0201403363489837
str_self-destruction_0.25+Qwen3-0.6B,0,0.5195,rewards mean,0.0219022708990475,-0.0051305743418763,interaction effect,0.0213918328323813
str_manic mood_0.25+Qwen3-0.6B,0,0.497,rewards mean,0.0219185520566969,0.0277592923045179,interaction effect,0.0223319410571173
str_grandiosity_0.25+Qwen3-0.6B,0,0.5215,rewards mean,0.0218986731594192,-0.002386745511115,interaction effect,0.0170252025167894
str_positivity bias_0.25+Qwen3-0.6B,0,0.5105,rewards mean,0.0219141129405913,0.0277492966325901,interaction effect,0.0147995057097526
str_lack of remorse_0.25+Qwen3-0.6B,0,0.508,rewards mean,0.0219161407965388,0.0126183233185773,interaction effect,0.0206760275663396
str_risk-seeking_0.25+Qwen3-0.6B,0,0.5115,rewards mean,0.0219131482729803,0.0151463427543136,interaction effect,0.0233140874652933
str_hostility_0.25+Qwen3-0.6B,0,0.5225,rewards mean,0.0218967424212903,0.0545157961593593,interaction effect,0.0222800652639923
str_random 0_0.25+Qwen3-0.6B,0,0.491,rewards mean,0.0219153954442701,0.0179184697262689,interaction effect,0.019000047777323
str_random 1_0.25+Qwen3-0.6B,0,0.507,rewards mean,0.0219167984392544,0.0126598547651178,interaction effect,0.016652301981871
str_random 2_0.25+Qwen3-0.6B,0,0.5125,rewards mean,0.021912095859878,0.0398472749183388,interaction effect,0.0196889533494908
str_random 3_0.25+Qwen3-0.6B,0,0.4875,rewards mean,0.021912095859878,0.0288612033960869,interaction effect,0.0193279199503822
str_random 4_0.25+Qwen3-0.6B,0,0.507,rewards mean,0.0219167984392544,0.0321188831243518,interaction effect,0.0188571855570589
str_random 5_0.25+Qwen3-0.6B,0,0.5065,rewards mean,0.0219170943720389,0.0251120239257084,interaction effect,0.0185686035350331
str_random 6_0.25+Qwen3-0.6B,0,0.497,rewards mean,0.0219185520566969,0.014133752730091,interaction effect,0.0219837271049425
str_random 7_0.25+Qwen3-0.6B,0,0.4955,rewards mean,0.0219180588659724,0.0074614524932108,interaction effect,0.0197279208011501
str_random 8_0.25+Qwen3-0.6B,0,0.4895,rewards mean,0.0219141129405913,0.0171559457334823,interaction effect,0.0147877740206667
str_random 9_0.25+Qwen3-0.6B,0,0.4825,rewards mean,0.0219055171324582,0.0004704597229001,interaction effect,0.0155941903434429
str_none+Qwen3-32B,0,0.513,rewards mean,0.0219115367448579,0.1426457126219481,interaction effect,0.0182019518678971
str_depressed mood_0.25+Qwen3-32B,0,0.5165,rewards mean,0.0219070084838242,0.151458804632875,interaction effect,0.0184185467746521
str_low self-esteem_0.25+Qwen3-32B,0,0.518,rewards mean,0.021904738518978,0.131783056219193,interaction effect,0.0185537159613875
str_negativity bias_0.25+Qwen3-32B,0,0.542,rewards mean,0.0218414796640926,0.1626481583089216,interaction effect,0.0193485917036069
str_guilt_0.25+Qwen3-32B,0,0.5195,rewards mean,0.0219022708990475,0.1461717493523097,interaction effect,0.0186390785113884
str_risk-aversion_0.25+Qwen3-32B,0,0.5015,rewards mean,0.0219188479658048,0.1294830549304571,interaction effect,0.0185868573956799
str_self-destruction_0.25+Qwen3-32B,0,0.518,rewards mean,0.021904738518978,0.1384264316462254,interaction effect,0.017811799958082
str_manic mood_0.25+Qwen3-32B,0,0.528,rewards mean,0.0218845507054582,0.136008058552227,interaction effect,0.017762264738395
str_grandiosity_0.25+Qwen3-32B,0,0.507,rewards mean,0.0219167984392544,0.131958593761345,interaction effect,0.0177948870718528
str_positivity bias_0.25+Qwen3-32B,0,0.502,rewards mean,0.0219187712490122,0.085691525557112,interaction effect,0.0168452031487038
str_lack of remorse_0.25+Qwen3-32B,0,0.5055,rewards mean,0.0219176204649005,0.1380046958618635,interaction effect,0.0178294037999632
str_risk-seeking_0.25+Qwen3-32B,0,0.524,rewards mean,0.0218936814136622,0.1117826771488009,interaction effect,0.0174923497816462
str_hostility_0.25+Qwen3-32B,0,0.5345,rewards mean,0.0218667062956933,0.1263796618136854,interaction effect,0.0179131290270278
str_random 0_0.25+Qwen3-32B,0,0.518,rewards mean,0.021904738518978,0.1436939689414813,interaction effect,0.0172545392385279
str_random 1_0.25+Qwen3-32B,0,0.5435,rewards mean,0.0218358367846079,0.123863100855857,interaction effect,0.017285689532764
str_random 2_0.25+Qwen3-32B,0,0.514,rewards mean,0.0219103526894823,0.1373526038253547,interaction effect,0.0172000690780493
str_random 3_0.25+Qwen3-32B,0,0.5205,rewards mean,0.0219005159779413,0.1186170065035134,interaction effect,0.0183368397738624
str_random 4_0.25+Qwen3-32B,0,0.5275,rewards mean,0.0218857690850525,0.1507904896073309,interaction effect,0.0174331800958639
str_random 5_0.25+Qwen3-32B,0,0.5465,rewards mean,0.0218239522691541,0.1324610342807473,interaction effect,0.0181279848897195
str_random 6_0.25+Qwen3-32B,0,0.513,rewards mean,0.0219115367448579,0.137858580930981,interaction effect,0.0175404908855622
str_random 7_0.25+Qwen3-32B,0,0.5315,rewards mean,0.0218754052048511,0.1415390470581409,interaction effect,0.0169352275430653
str_random 8_0.25+Qwen3-32B,0,0.5295,rewards mean,0.0218807634168428,0.1282671529636129,interaction effect,0.017732905292904
str_random 9_0.25+Qwen3-32B,0,0.52,rewards mean,0.021901404424325494,0.15294639130010224,interaction effect,0.018144712582951313
